minute,result,X,Y,xG,player,h_a,situation,season,shotType,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
22,MissedShots,0.98,0.407999992,0.160688996,Mohamed Salah,h,OpenPlay,2014,Head,Fiorentina,Cagliari,1,3,2015-04-26 17:00:00,Manuel Pasqual,Cross
75,MissedShots,0.790999985,0.329000015,0.0229601,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Cagliari,1,3,2015-04-26 17:00:00,Stefan Savic,Pass
79,BlockedShot,0.810999985,0.440999985,0.042316601,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Cagliari,1,3,2015-04-26 17:00:00,Alberto Gilardino,BallTouch
39,MissedShots,0.795,0.422999992,0.040460099,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Juventus,Fiorentina,3,2,2015-04-29 19:45:00,Mario Gomez,Pass
49,MissedShots,0.830999985,0.512999992,0.073823802,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Juventus,Fiorentina,3,2,2015-04-29 19:45:00,Mario Gomez,LayOff
17,MissedShots,0.849000015,0.539000015,0.0652503,Mohamed Salah,h,FromCorner,2014,LeftFoot,Fiorentina,Cesena,3,1,2015-05-03 14:00:00,,Rebound
17,BlockedShot,0.884000015,0.455999985,0.053420201,Mohamed Salah,h,FromCorner,2014,LeftFoot,Fiorentina,Cesena,3,1,2015-05-03 14:00:00,Josip Ilicic,Cross
39,MissedShots,0.853000031,0.517999992,0.438753009,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Cesena,3,1,2015-05-03 14:00:00,,None
42,MissedShots,0.88,0.552999992,0.0293913,Mohamed Salah,h,OpenPlay,2014,Head,Fiorentina,Cesena,3,1,2015-05-03 14:00:00,Juan Vargas,Cross
44,SavedShot,0.765,0.504000015,0.032761101,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Cesena,3,1,2015-05-03 14:00:00,,Dispossessed
49,SavedShot,0.869000015,0.330999985,0.102370001,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Cesena,3,1,2015-05-03 14:00:00,Neto,Pass
56,Goal,0.896999969,0.565,0.268530011,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Empoli,Fiorentina,2,3,2015-05-10 17:00:00,Josip Ilicic,TakeOn
62,SavedShot,0.794000015,0.502000008,0.0519052,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Empoli,Fiorentina,2,3,2015-05-10 17:00:00,Josip Ilicic,Pass
67,BlockedShot,0.905,0.462999992,0.438537002,Mohamed Salah,a,OpenPlay,2014,RightFoot,Empoli,Fiorentina,2,3,2015-05-10 17:00:00,Matías Fernánd,Pass
91,BlockedShot,0.820999985,0.676999969,0.034508701,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Empoli,Fiorentina,2,3,2015-05-10 17:00:00,Matías Fernánd,Pass
15,MissedShots,0.82,0.504000015,0.079266801,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Parma,3,0,2015-05-18 18:00:00,Alberto Gilardino,LayOff
51,BlockedShot,0.87,0.46,0.049455501,Mohamed Salah,h,FromCorner,2014,LeftFoot,Fiorentina,Parma,3,0,2015-05-18 18:00:00,Matías Fernánd,Cross
55,Goal,0.855,0.544000015,0.118499003,Mohamed Salah,h,OpenPlay,2014,RightFoot,Fiorentina,Parma,3,0,2015-05-18 18:00:00,Manuel Pasqual,TakeOn
